query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	hmmsearch_pfam_domains
Pele_DN101274_c3_g1_i1	99158.XP_008885186.1	3.77e-63	207.0	KOG0589@1|root,KOG0589@2759|Eukaryota,3YA1D@5794|Apicomplexa,3YIJR@5796|Coccidia,3YUD8@5809|Sarcocystidae	5794|Apicomplexa	T	Belongs to the protein kinase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Pkinase	Haspin_kinase, Kdo, Kinase-like, Pkinase, Pkinase_fungal, PK_Tyr_Ser-Thr
Pele_DN10129_c0_g1_i18	7029.ACYPI066041-PA	2.77e-12	75.5	KOG0593@1|root,KOG0593@2759|Eukaryota,38FU6@33154|Opisthokonta,3BBUV@33208|Metazoa,3CU0C@33213|Bilateria,41VJX@6656|Arthropoda,3SKW8@50557|Insecta,3E8GE@33342|Paraneoptera	33208|Metazoa	T	Serine/Threonine protein kinases, catalytic domain	-	-	2.7.11.22	ko:K08824	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase	Pkinase, PK_Tyr_Ser-Thr
Pele_DN10129_c0_g1_i20	8010.XP_010881452.1	7.19e-14	82.0	KOG0595@1|root,KOG0595@2759|Eukaryota,39YCW@33154|Opisthokonta,3BI4W@33208|Metazoa,3D4PY@33213|Bilateria,48C9C@7711|Chordata,4994N@7742|Vertebrata,49SFN@7898|Actinopterygii	33208|Metazoa	T	Belongs to the protein kinase superfamily	-	-	2.7.11.1	ko:K08859	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase	Pkinase, PK_Tyr_Ser-Thr
Pele_DN10129_c0_g1_i4	981085.XP_010113189.1	2.17e-09	63.5	COG0515@1|root,KOG0192@2759|Eukaryota,37JYB@33090|Viridiplantae,3GEAB@35493|Streptophyta,4JGP8@91835|fabids	35493|Streptophyta	T	Serine threonine-protein kinase	CTR1	GO:0001666,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004712,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006082,GO:0006464,GO:0006468,GO:0006629,GO:0006720,GO:0006721,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009628,GO:0009685,GO:0009686,GO:0009719,GO:0009723,GO:0009725,GO:0009743,GO:0009744,GO:0009746,GO:0009750,GO:0009756,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010039,GO:0010104,GO:0010105,GO:0010182,GO:0010646,GO:0010648,GO:0010817,GO:0012505,GO:0016020,GO:0016053,GO:0016101,GO:0016102,GO:0016114,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0019752,GO:0023051,GO:0023052,GO:0023057,GO:0031984,GO:0034284,GO:0034285,GO:0036211,GO:0036293,GO:0040034,GO:0042175,GO:0042221,GO:0042445,GO:0042446,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046777,GO:0048506,GO:0048509,GO:0048510,GO:0048519,GO:0048523,GO:0048580,GO:0048583,GO:0048585,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0051302,GO:0051716,GO:0065007,GO:0065008,GO:0070297,GO:0070298,GO:0070482,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0071310,GO:0071322,GO:0071704,GO:0098827,GO:0140096,GO:1901564,GO:1901576,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:2000026,GO:2000035,GO:2000069,GO:2000280	2.7.11.1	ko:K14510	ko04016,ko04075,map04016,map04075	-	-	-	ko00000,ko00001,ko01000,ko01001	-	-	-	Pkinase	ABC1, Pkinase, PK_Tyr_Ser-Thr
Pele_DN10136_c0_g1_i1	10224.XP_006816455.1	5.15e-120	375.0	KOG0274@1|root,KOG0297@1|root,KOG0274@2759|Eukaryota,KOG0297@2759|Eukaryota,38GT5@33154|Opisthokonta,3BBVY@33208|Metazoa,3D08G@33213|Bilateria	33208|Metazoa	T	activation of MAPKKK activity	-	-	2.3.2.27	ko:K10646	-	-	-	-	ko00000,ko01000,ko04121	-	-	-	WD40,zf-RING_UBOX,zf-TRAF	NBCH_WD40, WD40, zf-C3HC4, zf-C3HC4_2, zf-C3HC4_4, zf-Nse, zf-RING_2, zf-RING_6, zf-RING_UBOX, zf-TRAF
Pele_DN10140_c1_g1_i2	31033.ENSTRUP00000043461	2.06e-13	73.9	KOG1685@1|root,KOG1685@2759|Eukaryota,38CAK@33154|Opisthokonta,3BBQE@33208|Metazoa,3CTST@33213|Bilateria,489JM@7711|Chordata,495TX@7742|Vertebrata,49XI5@7898|Actinopterygii	33208|Metazoa	S	Ribosomal L1	RSL1D1	GO:0000470,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010941,GO:0015934,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0022625,GO:0022626,GO:0030684,GO:0030686,GO:0031974,GO:0031981,GO:0032879,GO:0032880,GO:0032991,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042273,GO:0042981,GO:0043043,GO:0043067,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0048027,GO:0048583,GO:0050789,GO:0050793,GO:0050794,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080134,GO:0080135,GO:0090304,GO:0090342,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904,GO:2000772	-	ko:K14775	-	-	-	-	ko00000,ko03009	-	-	-	Ribosomal_L1	Ribosomal_L1
Pele_DN10140_c1_g1_i9	31033.ENSTRUP00000043461	1.98e-13	73.9	KOG1685@1|root,KOG1685@2759|Eukaryota,38CAK@33154|Opisthokonta,3BBQE@33208|Metazoa,3CTST@33213|Bilateria,489JM@7711|Chordata,495TX@7742|Vertebrata,49XI5@7898|Actinopterygii	33208|Metazoa	S	Ribosomal L1	RSL1D1	GO:0000470,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010941,GO:0015934,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0022625,GO:0022626,GO:0030684,GO:0030686,GO:0031974,GO:0031981,GO:0032879,GO:0032880,GO:0032991,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042273,GO:0042981,GO:0043043,GO:0043067,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0048027,GO:0048583,GO:0050789,GO:0050793,GO:0050794,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080134,GO:0080135,GO:0090304,GO:0090342,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904,GO:2000772	-	ko:K14775	-	-	-	-	ko00000,ko03009	-	-	-	Ribosomal_L1	Ribosomal_L1
Pele_DN10145_c0_g1_i12	7739.XP_002595881.1	2.67e-16	82.8	KOG4475@1|root,KOG4475@2759|Eukaryota	2759|Eukaryota	U	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	-	-	-	-	-	-	-	-	-	-	-	-	TSP_1	TSP1_ADAMTS, TSP1_spondin, TSP_1
Pele_DN10152_c1_g1_i4	244447.XP_008314358.1	1.55e-114	332.0	KOG0088@1|root,KOG0088@2759|Eukaryota,38ECK@33154|Opisthokonta,3B9SU@33208|Metazoa,3CYXB@33213|Bilateria,4877K@7711|Chordata,48WBT@7742|Vertebrata,49ZR0@7898|Actinopterygii	33208|Metazoa	U	RAB21, member RAS oncogene family	RAB21	GO:0000139,GO:0000166,GO:0001558,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005794,GO:0005795,GO:0005802,GO:0005829,GO:0005886,GO:0006810,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007154,GO:0007165,GO:0007264,GO:0007265,GO:0007275,GO:0007399,GO:0008088,GO:0008089,GO:0008150,GO:0008361,GO:0009893,GO:0009894,GO:0009896,GO:0009898,GO:0009987,GO:0010008,GO:0010009,GO:0010506,GO:0010508,GO:0010638,GO:0010720,GO:0010769,GO:0010770,GO:0010970,GO:0010975,GO:0010976,GO:0012505,GO:0012506,GO:0016020,GO:0016043,GO:0016192,GO:0016239,GO:0016241,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0017157,GO:0019001,GO:0019003,GO:0019222,GO:0019899,GO:0019900,GO:0022008,GO:0022603,GO:0022604,GO:0023052,GO:0030029,GO:0030036,GO:0030100,GO:0030154,GO:0030516,GO:0030705,GO:0030865,GO:0030866,GO:0031090,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0031344,GO:0031346,GO:0031410,GO:0031901,GO:0031982,GO:0031984,GO:0031985,GO:0032386,GO:0032388,GO:0032482,GO:0032501,GO:0032502,GO:0032535,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032580,GO:0032879,GO:0033043,GO:0035556,GO:0035639,GO:0036094,GO:0036313,GO:0040008,GO:0042995,GO:0043005,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043243,GO:0043244,GO:0043548,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045807,GO:0046907,GO:0048259,GO:0048260,GO:0048518,GO:0048522,GO:0048638,GO:0048699,GO:0048731,GO:0048814,GO:0048856,GO:0048869,GO:0050767,GO:0050769,GO:0050770,GO:0050773,GO:0050775,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051046,GO:0051049,GO:0051050,GO:0051094,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051641,GO:0051649,GO:0051716,GO:0051960,GO:0051962,GO:0060284,GO:0060341,GO:0060627,GO:0061387,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066,GO:0097159,GO:0097367,GO:0097458,GO:0097708,GO:0098552,GO:0098559,GO:0098562,GO:0098588,GO:0098791,GO:0098805,GO:0098930,GO:0099111,GO:0120025,GO:0120035,GO:1900006,GO:1901096,GO:1901098,GO:1901265,GO:1901363,GO:1903530,GO:1903649,GO:1903651,GO:2000026,GO:2000641,GO:2000643	-	ko:K07890	-	-	-	-	ko00000,ko04031,ko04131,ko04147	-	-	-	Ras	Arf, Gtr1_RagA, MMR_HSR1, Ras, Roc
Pele_DN101566_c0_g2_i12	5811.TGME49_115930	3.7100000000000004e-36	129.0	2EQYY@1|root,2STVT@2759|Eukaryota,3YC4N@5794|Apicomplexa,3YMW3@5796|Coccidia,3YRFW@5809|Sarcocystidae	5794|Apicomplexa	S	Integral membrane protein, DUF56 family	-	-	-	-	-	-	-	-	-	-	-	-	-	
Pele_DN10156_c1_g1_i3	6500.XP_005091563.1	7.43e-173	520.0	COG4886@1|root,KOG0531@2759|Eukaryota,399E5@33154|Opisthokonta,3BFU5@33208|Metazoa,3CUNI@33213|Bilateria	33208|Metazoa	T	Leucine rich repeat containing 43	LRRC43	-	-	-	-	-	-	-	-	-	-	-	-	LRR_4, LRR_8, LRR_9
Pele_DN10158_c0_g1_i3	8010.XP_010871446.1	2.0500000000000002e-259	726.0	COG0143@1|root,COG0162@1|root,KOG2144@2759|Eukaryota,KOG2241@2759|Eukaryota,38E6V@33154|Opisthokonta,3BE3E@33208|Metazoa,3CXHC@33213|Bilateria,48133@7711|Chordata,495P0@7742|Vertebrata,4A06Z@7898|Actinopterygii	33208|Metazoa	J	tyrosyl-tRNA synthetase	YARS	GO:0000049,GO:0001664,GO:0002682,GO:0002685,GO:0002688,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004812,GO:0004831,GO:0005102,GO:0005126,GO:0005153,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006437,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0006915,GO:0006935,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008219,GO:0009058,GO:0009059,GO:0009605,GO:0009966,GO:0009987,GO:0010467,GO:0010469,GO:0010646,GO:0010758,GO:0012501,GO:0016070,GO:0016604,GO:0016874,GO:0016875,GO:0017101,GO:0017102,GO:0019538,GO:0019752,GO:0023051,GO:0030334,GO:0030545,GO:0031974,GO:0031981,GO:0032101,GO:0032879,GO:0032991,GO:0033554,GO:0034641,GO:0034645,GO:0034660,GO:0040011,GO:0040012,GO:0042056,GO:0042221,GO:0042330,GO:0042379,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044421,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0045236,GO:0046483,GO:0048018,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0050918,GO:0050920,GO:0051270,GO:0051716,GO:0065007,GO:0065009,GO:0070013,GO:0071704,GO:0090304,GO:0097159,GO:0098772,GO:0140098,GO:0140101,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1905521,GO:2000145	6.1.1.1	ko:K01866	ko00970,map00970	M00359,M00360	R02918	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	tRNA-synt_1b,tRNA_bind	tRNA-synt_1b, tRNA_bind
Pele_DN1015_c0_g1_i15	7739.XP_002613737.1	1.8900000000000002e-73	222.0	COG0652@1|root,KOG0865@2759|Eukaryota,38FFS@33154|Opisthokonta,3B9YC@33208|Metazoa,3D1XY@33213|Bilateria,480P6@7711|Chordata	33208|Metazoa	O	regulation of proton-transporting ATPase activity, rotational mechanism	PPIF	GO:0000302,GO:0000413,GO:0002082,GO:0002931,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005757,GO:0005759,GO:0006140,GO:0006464,GO:0006807,GO:0006810,GO:0006839,GO:0006915,GO:0006950,GO:0006979,GO:0006996,GO:0007005,GO:0007006,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0008637,GO:0009636,GO:0009892,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010035,GO:0010038,GO:0010155,GO:0010563,GO:0010638,GO:0010639,GO:0010646,GO:0010647,GO:0010648,GO:0010821,GO:0010822,GO:0010823,GO:0010849,GO:0010939,GO:0010941,GO:0010942,GO:0012501,GO:0016018,GO:0016020,GO:0016021,GO:0016043,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019866,GO:0022898,GO:0023051,GO:0023056,GO:0023057,GO:0031090,GO:0031224,GO:0031323,GO:0031324,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032409,GO:0032410,GO:0032412,GO:0032780,GO:0032879,GO:0032991,GO:0033043,GO:0033218,GO:0033554,GO:0034599,GO:0034614,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0035690,GO:0035794,GO:0036211,GO:0042221,GO:0042277,GO:0042325,GO:0042326,GO:0042493,GO:0042542,GO:0042981,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043086,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043269,GO:0043271,GO:0043412,GO:0043462,GO:0043467,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045934,GO:0045936,GO:0045980,GO:0046677,GO:0046685,GO:0046902,GO:0046930,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051336,GO:0051346,GO:0051592,GO:0051716,GO:0060548,GO:0061024,GO:0062012,GO:0062014,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070265,GO:0070266,GO:0070301,GO:0070887,GO:0071236,GO:0071241,GO:0071243,GO:0071248,GO:0071277,GO:0071704,GO:0071840,GO:0080090,GO:0090199,GO:0090200,GO:0090201,GO:0090324,GO:0090559,GO:0097237,GO:0097300,GO:0098796,GO:0098798,GO:0140096,GO:1900542,GO:1900543,GO:1901564,GO:1901700,GO:1901701,GO:1902445,GO:1902531,GO:1902532,GO:1902686,GO:1903578,GO:1903579,GO:1904062,GO:1904063,GO:1905710,GO:2000275,GO:2000276,GO:2001233,GO:2001234,GO:2001235,GO:2001242,GO:2001243	5.2.1.8	ko:K09565	ko04020,ko04022,ko05012,ko05016,ko05145,map04020,map04022,map05012,map05016,map05145	-	-	-	ko00000,ko00001,ko01000,ko03110	-	-	-	Pro_isomerase	Pro_isomerase
Pele_DN1015_c0_g1_i9	7739.XP_002613737.1	1.8900000000000002e-73	222.0	COG0652@1|root,KOG0865@2759|Eukaryota,38FFS@33154|Opisthokonta,3B9YC@33208|Metazoa,3D1XY@33213|Bilateria,480P6@7711|Chordata	33208|Metazoa	O	regulation of proton-transporting ATPase activity, rotational mechanism	PPIF	GO:0000302,GO:0000413,GO:0002082,GO:0002931,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005757,GO:0005759,GO:0006140,GO:0006464,GO:0006807,GO:0006810,GO:0006839,GO:0006915,GO:0006950,GO:0006979,GO:0006996,GO:0007005,GO:0007006,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0008637,GO:0009636,GO:0009892,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010035,GO:0010038,GO:0010155,GO:0010563,GO:0010638,GO:0010639,GO:0010646,GO:0010647,GO:0010648,GO:0010821,GO:0010822,GO:0010823,GO:0010849,GO:0010939,GO:0010941,GO:0010942,GO:0012501,GO:0016018,GO:0016020,GO:0016021,GO:0016043,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019866,GO:0022898,GO:0023051,GO:0023056,GO:0023057,GO:0031090,GO:0031224,GO:0031323,GO:0031324,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032409,GO:0032410,GO:0032412,GO:0032780,GO:0032879,GO:0032991,GO:0033043,GO:0033218,GO:0033554,GO:0034599,GO:0034614,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0035690,GO:0035794,GO:0036211,GO:0042221,GO:0042277,GO:0042325,GO:0042326,GO:0042493,GO:0042542,GO:0042981,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043086,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043269,GO:0043271,GO:0043412,GO:0043462,GO:0043467,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045934,GO:0045936,GO:0045980,GO:0046677,GO:0046685,GO:0046902,GO:0046930,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051336,GO:0051346,GO:0051592,GO:0051716,GO:0060548,GO:0061024,GO:0062012,GO:0062014,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070265,GO:0070266,GO:0070301,GO:0070887,GO:0071236,GO:0071241,GO:0071243,GO:0071248,GO:0071277,GO:0071704,GO:0071840,GO:0080090,GO:0090199,GO:0090200,GO:0090201,GO:0090324,GO:0090559,GO:0097237,GO:0097300,GO:0098796,GO:0098798,GO:0140096,GO:1900542,GO:1900543,GO:1901564,GO:1901700,GO:1901701,GO:1902445,GO:1902531,GO:1902532,GO:1902686,GO:1903578,GO:1903579,GO:1904062,GO:1904063,GO:1905710,GO:2000275,GO:2000276,GO:2001233,GO:2001234,GO:2001235,GO:2001242,GO:2001243	5.2.1.8	ko:K09565	ko04020,ko04022,ko05012,ko05016,ko05145,map04020,map04022,map05012,map05016,map05145	-	-	-	ko00000,ko00001,ko01000,ko03110	-	-	-	Pro_isomerase	Pro_isomerase
Pele_DN10163_c0_g1_i1	6412.HelroP109215	0.0	980.0	COG5146@1|root,KOG2201@2759|Eukaryota,KOG4584@2759|Eukaryota,38BIM@33154|Opisthokonta,3B9PD@33208|Metazoa,3CRWF@33213|Bilateria	33208|Metazoa	H	Pantothenate kinase 4	PANK4	-	2.7.1.33	ko:K09680	ko00770,ko01100,map00770,map01100	M00120	R02971,R03018,R04391	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	DUF89,Fumble	ARMT1-like_dom, Fumble
