#                                                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Pele_DN5419_c0_g2_i2                                   -          2-Hacid_dh_C         PF02826.22     0.031   14.9   0.0     0.054   14.1   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN5419_c0_g2_i6                                   -          2-Hacid_dh_C         PF02826.22     0.031   14.9   0.0     0.054   14.1   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_71580_length_1702_cov_65_658686_g31872_i0    -          2-Hacid_dh_C         PF02826.22     0.033   14.8   0.0     0.058   14.0   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_73782_length_1659_cov_70_630517_g31872_i1    -          2-Hacid_dh_C         PF02826.22     0.033   14.8   0.0     0.058   14.0   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN3670_c0_g1_i5                                   -          2-Hacid_dh_C         PF02826.22     0.038   14.6   0.0     0.092   13.4   0.0   1.6   2   0   0   2   2   1   0 -
Pele_NODE_280882_length_331_cov_26_038760_g211528_i0   -          2-Hacid_dh_C         PF02826.22     0.039   14.6   0.0     0.049   14.3   0.0   1.2   1   0   0   1   1   1   0 -
Pele_DN3670_c0_g1_i25                                  -          2-Hacid_dh_C         PF02826.22      0.04   14.6   0.0     0.095   13.3   0.0   1.6   2   0   0   2   2   1   0 -
Pele_NODE_47526_length_2287_cov_297_866757_g20760_i0   -          2-Hacid_dh_C         PF02826.22      0.04   14.6   0.0     0.066   13.9   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_167794_length_644_cov_25_402802_g99527_i0    -          2-Hacid_dh_C         PF02826.22      0.05   14.2   0.0     0.089   13.4   0.0   1.4   1   0   0   1   1   1   0 -
Pele_NODE_43488_length_2415_cov_184_685312_g19015_i0   -          2-Hacid_dh_C         PF02826.22     0.052   14.2   0.4       0.1   13.2   0.3   1.6   1   1   0   1   1   1   0 -
Pele_DN77407_c0_g1_i1                                  -          2-Hacid_dh_C         PF02826.22     0.073   13.7   0.2      0.15   12.7   0.0   1.6   2   0   0   2   2   1   0 -
Pele_DN63773_c1_g1_i10                                 -          2-Hacid_dh_C         PF02826.22     0.081   13.6   0.1      0.14   12.8   0.1   1.3   1   0   0   1   1   1   0 -
Pele_DN63773_c1_g1_i9                                  -          2-Hacid_dh_C         PF02826.22     0.081   13.6   0.1      0.14   12.8   0.1   1.3   1   0   0   1   1   1   0 -
Pele_DN3156_c2_g1_i44                                  -          2-Hacid_dh_C         PF02826.22     0.094   13.3   0.1      0.54   10.9   0.1   2.0   2   0   0   2   2   2   0 -
Pele_NODE_21678_length_3436_cov_167_884924_g9777_i0    -          2-Hacid_dh_C         PF02826.22     0.094   13.3   0.1      0.54   10.9   0.1   2.0   2   0   0   2   2   2   0 -
Pele_NODE_77987_length_1584_cov_32_857048_g35094_i0    -          2-Hacid_dh_C         PF02826.22      0.11   13.2   0.3      0.35   11.5   0.3   1.9   1   1   0   1   1   1   0 -
Pele_DN1733_c0_g2_i15                                  -          2-Hacid_dh_C         PF02826.22      0.13   12.9   0.0      0.22   12.1   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN31464_c0_g1_i1                                  -          2-Hacid_dh_C         PF02826.22      0.16   12.6   0.0      0.31   11.7   0.0   1.4   1   0   0   1   1   1   0 -
Pele_NODE_102418_length_1215_cov_410_035902_g48500_i0  -          2-Hacid_dh_C         PF02826.22      0.17   12.5   0.0      0.41   11.3   0.0   1.6   2   0   0   2   2   1   0 -
Pele_NODE_74617_length_1643_cov_214_273248_g33333_i0   -          2-Hacid_dh_C         PF02826.22      0.17   12.5   0.1      0.24   12.0   0.1   1.2   1   0   0   1   1   1   0 -
Pele_NODE_13732_length_4111_cov_838_289747_g6337_i0    -          2-Hacid_dh_C         PF02826.22      0.17   12.5   0.0      0.29   11.8   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_19738_length_3571_cov_838_847055_g6337_i1    -          2-Hacid_dh_C         PF02826.22      0.17   12.5   0.0      0.29   11.8   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_23885_length_3296_cov_876_265591_g6337_i3    -          2-Hacid_dh_C         PF02826.22      0.17   12.5   0.0      0.29   11.8   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_26147_length_3165_cov_1063_336675_g11665_i0  -          2-Hacid_dh_C         PF02826.22      0.17   12.5   0.1      0.41   11.3   0.1   1.6   1   0   0   1   1   1   0 -
Pele_NODE_42484_length_2449_cov_917_698232_g6337_i5    -          2-Hacid_dh_C         PF02826.22      0.17   12.5   0.0       0.3   11.7   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN5194_c0_g1_i1                                   -          2-Hacid_dh_C         PF02826.22      0.18   12.5   0.2        29    5.3   0.0   2.3   2   0   0   2   2   2   0 -
Pele_DN5194_c0_g1_i11                                  -          2-Hacid_dh_C         PF02826.22      0.18   12.5   0.2        29    5.3   0.0   2.3   2   0   0   2   2   2   0 -
Pele_NODE_82982_length_1499_cov_68_401823_g37638_i0    -          2-Hacid_dh_C         PF02826.22      0.19   12.4   0.1       5.5    7.6   0.0   2.4   2   0   0   2   2   2   0 -
Pele_NODE_201164_length_497_cov_3_794811_g131910_i0    -          2-Hacid_dh_C         PF02826.22      0.19   12.3   0.0       0.4   11.3   0.0   1.6   1   0   0   1   1   1   0 -
Pele_DN992_c0_g1_i11                                   -          2-Hacid_dh_C         PF02826.22       0.2   12.3   0.0      0.32   11.6   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN992_c0_g1_i20                                   -          2-Hacid_dh_C         PF02826.22       0.2   12.3   0.0      0.32   11.6   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_79540_length_1556_cov_120_472690_g35880_i0   -          2-Hacid_dh_C         PF02826.22      0.23   12.1   0.0      0.37   11.4   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_25078_length_3227_cov_363_657261_g7393_i6    -          2-Hacid_dh_C         PF02826.22      0.27   11.9   0.0       1.6    9.4   0.0   2.1   2   0   0   2   2   2   0 -
Pele_DN57554_c0_g1_i6                                  -          2-Hacid_dh_C         PF02826.22      0.27   11.9   0.0       1.6    9.4   0.0   2.1   2   0   0   2   2   2   0 -
Pele_DN25067_c0_g1_i1                                  -          2-Hacid_dh_C         PF02826.22      0.28   11.8   0.3      0.54   10.9   0.2   1.5   1   1   0   1   1   1   0 -
Pele_NODE_63114_length_1877_cov_470_868625_g27829_i0   -          2-Hacid_dh_C         PF02826.22       0.3   11.7   0.0      0.49   11.0   0.0   1.3   1   0   0   1   1   1   0 -
Pele_DN6420_c0_g1_i5                                   -          2-Hacid_dh_C         PF02826.22      0.31   11.7   0.0      0.48   11.0   0.0   1.3   1   0   0   1   1   1   0 -
Pele_NODE_50438_length_2202_cov_242_421325_g21989_i0   -          2-Hacid_dh_C         PF02826.22      0.33   11.6   0.0      0.52   10.9   0.0   1.2   1   0   0   1   1   1   0 -
Pele_DN1166_c1_g1_i1                                   -          2-Hacid_dh_C         PF02826.22      0.36   11.4   0.1       0.7   10.5   0.1   1.4   1   0   0   1   1   1   0 -
Pele_DN2140_c0_g1_i1                                   -          2-Hacid_dh_C         PF02826.22       0.4   11.3   0.6       1.2    9.7   0.6   1.9   1   1   0   1   1   1   0 -
Pele_NODE_15847_length_3899_cov_644_358599_g123_i5     -          2-Hacid_dh_C         PF02826.22      0.44   11.2   0.1        16    6.1   0.0   2.4   2   0   0   2   2   2   0 -
Pele_DN15931_c0_g1_i1                                  -          2-Hacid_dh_C         PF02826.22      0.46   11.1   0.0      0.81   10.3   0.0   1.5   1   0   0   1   1   1   0 -
Pele_NODE_46319_length_2323_cov_495_328889_g20248_i0   -          2-Hacid_dh_C         PF02826.22      0.46   11.1   0.0      0.81   10.3   0.0   1.5   1   0   0   1   1   1   0 -
Pele_DN198021_c0_g1_i1                                 -          2-Hacid_dh_C         PF02826.22      0.49   11.0   0.4       4.1    8.0   0.1   2.4   2   0   0   2   2   2   0 -
Pele_DN59803_c0_g1_i3                                  -          2-Hacid_dh_C         PF02826.22      0.52   10.9   0.0       5.3    7.6   0.0   2.1   2   0   0   2   2   2   0 -
Pele_DN239962_c0_g1_i1                                 -          2-Hacid_dh_C         PF02826.22       0.7   10.5   0.6       1.7    9.3   0.6   1.8   1   1   0   1   1   1   0 -
Pele_DN47950_c0_g1_i2                                  -          2-Hacid_dh_C         PF02826.22       2.1    8.9   4.0       2.8    8.6   0.0   2.8   4   0   0   4   4   3   0 -
Pele_DN5665_c1_g1_i19                                 -          2-oxoacid_dh         PF00198.26   9.7e-83  278.5   0.0   1.1e-82  278.3   0.0   1.0   1   0   0   1   1   1   1 -
Pele_NODE_26487_length_3145_cov_204_664388_g11793_i0  -          2-oxoacid_dh         PF00198.26   5.5e-82  276.0   0.0   7.3e-82  275.6   0.0   1.2   1   0   0   1   1   1   1 -
Pele_NODE_44228_length_2391_cov_177_140207_g19337_i0  -          2-oxoacid_dh         PF00198.26     4e-80  269.9   0.3   1.1e-79  268.5   0.1   1.7   2   0   0   2   2   2   1 -
Pele_NODE_27445_length_3092_cov_692_197085_g8897_i2   -          2-oxoacid_dh         PF00198.26   2.1e-79  267.6   0.1   2.6e-79  267.3   0.1   1.1   1   0   0   1   1   1   1 -
